1,1039,1,1895,25.38333,82.6,LL3.15
1,1850,1,1796,49.78333,30.16667,H6
1,330000,1,1899,60.4,25.8,L/LL4
1,705,1,1941,40.91667,-78.08333,L5
1,2381,1,1906,36.83333,-97.33333,L5
1,5100,1,1909,31.83333,-98.83333,L6
1,470,1,1833,49.36667,16.63333,H6
1,67.8,1,1938,40.48,-89.00417,LL6
1,7500,1,1977,33.83333,115.83333,LL3.9
1,56,1,1804,23,-102,L6
1,8800,1,1962,12.5,0.7,"Iron, IAB-MG"
1,256000,1,1916,44.55,131.63333,"Iron, IIAB"
1,1676,1,1808,44.86667,10.05,LL6
1,8600,1,1894,21.95,78.03333,L6
1,1342,1,1930,54.23333,52.48333,CM2
1,7000,1,1852,48.15,24.28333,L5
1,500,1,1812,55.46667,35.86667,H5
1,614,1,1823,51.33333,33.88333,L4
1,190,1,2003,17.71067,-11.3715,L6
1,3599,1,2011,17.17493,-11.34133,L6
1,5460,1,1969,54.56667,-6.33333,L3
1,762,1,1886,40.5,-80.08333,L
1,39000,1,1847,50.6,16.3,"Iron, IIAB"
1,1500,1,1956,50.66694,8.18361,H5
1,7250,1,1855,53.4,9.1,H/L3.9
1,219,1,1933,52.13333,59.31667,Eucrite-pmict
1,303000,1,1960,53.9,-112.88333,L6
1,5300,1,2001,39.77978,64.60035,CV3
1,2250,1,1964,,,Iron?
1,324,1,2007,-31.35,129.19,Eucrite
1,357,1,1942,10.01667,9.58333,Howardite
1,120000,1,1919,5,48,H5
1,1504,1,1990,37.62194,-82.23722,H4-an
1,25000,1,1946,40.2,29.23333,L6
1,5000,1,1863,46.45,25.78333,L6
1,1500,1,1852,26.78333,82.83333,Aubrite
1,29000,1,1861,27.08333,84.08333,H6
1,41000,1,2008,52.996,-109.84817,H4
1,25000,1,1870,37.98333,-1.16667,L/LL6
1,48500,1,1886,35.5,-93.5,"Iron, IIIAB"
1,212,1,1919,43.83889,20.33333,OC
1,478,1,2007,3.405,-76.51,H/L4
1,2400,1,1916,11.75,122.33333,Stone-uncl
1,23680,1,1991,-7.03333,-40.16667,L5
1,4000,1,1964,39.8,26.6,L6
1,945,1,1861,41.25,1.66667,H4
1,34000,1,1866,43.38333,-5.15,H5
1,1400,1,1973,38.47028,-105.24139,H6
1,2300,1,1846,37.26667,-89.58333,H6
1,750,1,1934,-30.88333,-64.55,H6
1,342,1,2007,-16.66444,-69.04389,H4-5
1,8,1,1902,38.5,27,LL6
1,7300,1,1874,36.08333,-78.06667,H5
1,,1,1791,43.35,11.5,Stone-uncl
1,94,1,1848,44.38333,-68.75,L6
1,15000,1,1583,39.8,16.2,Stone-uncl
1,1360,1,1810,36.5,-79.25,OC
1,1025,1,1988,26.46667,-105.23333,L3.7
1,45.6,1,1956,43.2,-96.91667,H5
1,6460,1,1840,45.08333,8.3,H5
1,3700,1,1998,28.53333,109.31667,L6
1,0.5,1,1814,25.36667,81.66667,H6
1,8200,1,1907,25.85,83.48333,LL3.4
1,18300,1,1933,-30.78333,-58.05,L5
1,8800,1,1838,20.26667,76.01667,L5
1,1100,1,1885,27.28333,79.05,L6
1,1810,1,1977,29.08333,111.75,H5
1,31500,1,1812,46.68333,1.05,L6
1,4300,1,1835,36.16667,-87.33333,"Iron, IVA"
1,27000,1,1810,47.93333,1.56667,H6
1,12000,1,1834,29.48333,75.5,H6
1,4000,1,1815,47.71667,5.36667,Martian (chassignite)
1,30000,1,1841,47.93333,2.91667,L6
1,2945,1,1925,41.93333,-7.46667,Howardite
1,2936,1,1988,-3.66667,32.5,H4
1,100000,1,2013,54.81667,61.11667,LL5
1,100000,1,2007,23.69639,-5.01472,H5
1,6000,1,1964,53.7,30.1,H4
1,8400,1,1933,35.03333,-81.88333,LL6
1,705,1,1901,46.55,6.81667,L5
1,1700,1,1939,50.83333,34,Eucrite-mmict
1,72,1,1880,14.5,76.5,Stone-uncl
1,367,1,1981,17.9,101.63333,H6
1,303,1,1938,40.93333,-79.73333,LL6
1,3920,1,1988,-10.05944,33.395,"Iron, IIIAB"
1,,1,1966,-17.35,13.96667,L6
1,4000,1,1978,47.47083,0.97667,L6
1,1600,1,1979,-6.95,108.1,L5
1,1455,1,1984,32.1025,-81.87278,L6
1,48.6,1,1822,,,L4
1,104000,1,1917,44.9,-90.28333,L6
1,5200,1,1838,-33.13333,19.38333,CM2
1,469,1,1994,43.76111,-84.50778,L6
1,5000,1,1890,42.53333,12.61667,H5
1,20350,1,1965,-19.85,-47.55,H4
1,1200,1,1844,21.16667,-100.86667,H5
1,1460,1,1917,10.2,76.26667,L6
1,78.4,1,1936,35.95,-97.58333,CM2
1,3650,1,1877,-27.7,27.3,H5
1,167,1,1892,35.63333,-78.13333,H5
1,4255,1,1902,54.61667,-6.21667,L5
1,17000,1,1919,36.83333,-84.35,Aubrite
1,6000,1,1877,38.4,-84.25,L/LL4
1,18000,1,1981,35.61667,8.83333,LL6
1,5650,1,1878,26.91667,83.96667,L6
1,1064,1,1868,-28.2,24.56667,EL6
1,2000,1,1868,34.4,-87.06667,L6
1,100,1,1804,49.86667,8.65,H5
1,7000,1,1998,41.98444,59.685,H5
1,6580,1,2008,-1.87089,-79.95756,L5
1,340,1,1887,43,-80,H6
1,28,1,1829,40.25,-74,L6
1,0.8,1,1897,28.56667,77.25,L5
1,16400,1,1911,51.46667,84.76667,L6
1,230,1,1967,39.7825,-104.93056,L6
1,12500,1,2001,26.68333,93.86667,H5
1,25400,1,1962,25.73333,73.61667,H6
1,12000,1,2001,19,81,H3.8
1,1140,1,1994,24.225,76.525,L6
1,45000,1,1976,22.37778,71.42722,H3.8
1,1800,1,1848,14.88333,75.6,OC
1,32000,1,1860,32.23333,76.46667,LL6
1,3396,1,2007,37.35172,27.32997,H3-5
1,1000,1,1906,-33.75,18.56667,L6
1,400,1,1957,-31.88333,-60.46667,H4
1,166000,1,1884,-7.5,111.5,H6
1,3950,1,1961,12.73333,15.05,H
1,10000,1,1999,36.95,9.55,H5-6
1,3840,1,1903,23.5,90.33333,H5
1,1600,1,1864,50.75,25.3,L6
1,438,1,1907,40,29,L5
1,128800,1,1995,45.5,119.03333,Mesosiderite
1,230,1,1899,21.86667,82.45,H6
1,5500,1,1970,32.91667,120.78333,LL6
1,3891,1,1805,51.2,112.3,H5-7
1,1250,1,1962,13.05,3.16667,L6
1,1161,1,1932,32.33333,-6.3,LL6
1,642,1,1976,-13.66667,33.91667,Stone-uncl
1,5000,1,1827,36.4,-86.5,L6
1,47700,1,1939,42.52,-82.26,H6
1,1900,1,1951,42.45833,18.44167,L3-6
1,30,1,1999,-31.66667,152.83333,L6
1,2270,1,1865,52.55,-8.03333,H5
1,,1,1976,43.33333,128.25,Stone-uncl
1,13200,1,1815,30.3,76.63333,L6
1,577,1,1853,-4,39.5,L6
1,2117,1,1943,33.43333,127.26667,L6
1,3230,1,1970,-27.2,31.31667,H4-6
1,300,1,1872,26.25,82,Ureilite
1,188,1,1933,-3,151,Mesosiderite-A1
1,10000,1,1947,40.78167,-96.47167,EL6
1,2400,1,1961,-17.3,15.83333,H5
1,3000,1,1785,48.9,11.21667,H5
1,3336,1,1939,56.03333,13,H4
1,840,1,1916,28.26667,78.78333,H6
1,10000,1,1989,34.41667,3.25,L6
1,17226,1,1977,25.37,-97.37,H5
1,5000,1,1993,19.96722,-103.05167,L6
1,680.5,1,1998,39.24667,-104.58817,LL6
1,107000,1,1399,50.18333,12.73333,"Iron, IID"
1,54640,1,1951,47.83333,37.66667,L5
1,1470,1,1925,51.75,4,Diogenite
1,127,1,1900,-29.46667,151.61667,Eucrite-mmict
1,8000,1,1974,30.3,109.5,H5
1,127000,1,1491,47.86667,7.35,LL6
1,277,1,1822,48.18333,6.46667,H5
1,113,1,1940,19.03333,81.89167,CM2
1,107.2,1,1911,40.3,44.5,Howardite
1,20000,1,1889,1.16667,44.16667,L5
1,2250,1,1812,52.21667,11.25,H6
1,1500,1,1837,46.25,-1.1,L6
1,500,1,1957,2.88333,30.83333,C2-ung
1,320000,1,1879,43.41667,-94.83333,Mesosiderite-A3/4
1,89400,1,1890,39.75,-97.03333,L5
1,56000,1,1934,35.55,-77.53333,H4
1,1500,1,1844,44.38333,2.81667,H5
1,2360,1,1934,36.05,-94.16667,H4
1,380,1,1875,36.88333,8.45,H4
1,3200,1,1900,32.53333,-87.16667,CO3.3
1,82,1,1924,34.6,116.75,H5
1,220,1,1889,36.1,-81.41667,OC
1,10200,1,1996,43.18111,13.75333,H3-5
1,17600,1,1894,47.81667,-96.85,L6
1,3640,1,1922,30.83333,-97.76667,H3
1,152000,1,1890,43.25,-93.66667,H5
1,26000,1,1942,-33.35,146.85833,H4
1,6067,1,1924,36.78333,-78.08333,L6
1,240,1,1900,50.95,7.31667,H6
1,16300,1,1829,33.01667,-83.96667,L6
1,,1,1944,28.25,7,Stone-uncl
1,650,1,1868,34.48333,-87.83333,Howardite
1,23000,1,1945,31.47556,113.56694,L5
1,11620,1,1882,33.18333,130.2,L5
1,,1,1654,55.33333,10.33333,Stone-uncl
1,4000,1,1822,25.95,80.81667,L6
1,2500,1,1977,32.9,115.9,Stone-uncl
1,132.7,1,1826,44.3,0.4,H6
1,36.1,1,1952,7.05,12.43333,LL6
